"Date","Price","Open","High","Low","Vol.","Change %"
"09/10/2023","1,353.31","1,349.40","1,383.65","1,348.54","2.19B","1.72%"
"09/03/2023","1,330.46","1,333.82","1,339.66","1,307.03","1.41B","-0.53%"
"08/27/2023","1,337.52","1,305.20","1,355.88","1,295.03","1.62B","3.03%"
"08/20/2023","1,298.21","1,290.23","1,313.71","1,278.22","1.72B","1.13%"
"08/13/2023","1,283.67","1,331.27","1,346.64","1,270.54","1.75B","-4.10%"
"08/06/2023","1,338.53","1,357.24","1,366.81","1,328.44","1.85B","-0.99%"
"07/30/2023","1,351.90","1,358.85","1,376.93","1,311.03","2.04B","-0.23%"
"07/23/2023","1,354.99","1,337.50","1,360.87","1,327.97","1.97B","1.21%"
"07/16/2023","1,338.83","1,373.03","1,391.32","1,332.25","2.24B","-2.28%"
"07/09/2023","1,370.10","1,325.88","1,376.68","1,316.05","1.95B","3.31%"
"07/02/2023","1,326.17","1,344.73","1,352.69","1,318.27","1.55B","-0.33%"
"06/25/2023","1,330.54","1,291.60","1,334.14","1,281.88","2.40B","2.48%"
"06/18/2023","1,298.40","1,295.32","1,312.91","1,285.19","1.94B","-0.02%"
"06/11/2023","1,298.65","1,267.53","1,310.06","1,263.15","2.65B","3.15%"
"06/04/2023","1,258.94","1,229.05","1,276.09","1,226.03","2.39B","2.44%"
"05/28/2023","1,228.92","1,204.15","1,233.86","1,171.97","2.07B","3.27%"
"05/21/2023","1,190.01","1,187.66","1,199.69","1,158.78","2.30B","0.36%"
"05/14/2023","1,185.73","1,156.67","1,196.32","1,146.78","2.04B","2.63%"
"05/07/2023","1,155.36","1,151.54","1,172.00","1,143.98","1.88B","0.61%"
"04/30/2023","1,148.40","1,150.07","1,152.60","1,124.22","2.28B","-0.35%"
"04/23/2023","1,152.42","1,152.79","1,159.49","1,119.64","2.28B","0.17%"
"04/16/2023","1,150.47","1,148.98","1,160.58","1,130.51","1.94B","0.53%"
"04/09/2023","1,144.40","1,118.59","1,151.12","1,111.15","1.92B","1.31%"
"04/02/2023","1,129.59","1,153.09","1,159.69","1,113.52","1.52B","-2.95%"
"03/26/2023","1,163.98","1,112.56","1,164.49","1,095.66","2.06B","5.58%"
"03/19/2023","1,102.47","1,094.69","1,140.78","1,088.13","2.31B","0.44%"
"03/12/2023","1,097.66","1,058.70","1,116.09","1,053.27","3.01B","2.35%"
"03/05/2023","1,072.43","1,137.34","1,142.43","1,068.92","2.24B","-5.55%"
"02/26/2023","1,135.50","1,130.60","1,139.12","1,094.96","2.44B","1.61%"
"02/19/2023","1,117.47","1,147.89","1,154.74","1,108.13","1.84B","-4.44%"
"02/12/2023","1,169.45","1,150.07","1,194.90","1,143.03","2.44B","1.64%"
