"Date","Price","Open","High","Low","Vol.","Change %"
"02/12/2023","644.20","692.10","692.80","641.76","843.33M","-6.92%"
"02/05/2023","692.10","658.95","693.42","648.10","757.98M","5.03%"
"01/29/2023","658.95","700.58","700.58","653.18","855.32M","-5.94%"
"01/22/2023","700.58","695.32","714.94","674.45","712.11M","0.76%"
"01/15/2023","695.32","690.21","702.37","673.12","596.74M","0.74%"
"01/08/2023","690.21","672.35","693.53","663.96","690.97M","2.66%"
"01/01/2023","672.35","672.34","680.83","636.34","590.08M","0.00%"
"12/25/2022","672.34","668.33","678.27","658.30","399.24M","0.60%"
"12/18/2022","668.33","640.28","668.40","634.80","647.88M","4.38%"
"12/11/2022","640.28","629.47","663.48","629.47","1.12B","1.72%"
"12/04/2022","629.47","687.20","696.46","628.81","884.24M","-8.40%"
"11/27/2022","687.20","701.00","701.73","679.16","841.33M","-1.97%"
"11/20/2022","701.00","699.19","713.05","666.73","561.50M","0.26%"
"11/13/2022","699.19","716.02","724.74","684.14","782.14M","-2.35%"
"11/06/2022","716.02","701.99","718.54","678.01","923.14M","2.00%"
"10/30/2022","701.99","685.71","715.07","676.26","996.87M","2.37%"
"10/23/2022","685.71","667.35","695.24","663.71","929.77M","2.75%"
"10/16/2022","667.35","617.48","668.57","617.48","932.26M","8.08%"
"10/09/2022","617.48","629.14","643.74","602.21","853.06M","-1.85%"
"10/02/2022","629.14","552.56","642.46","552.56","1.11B","13.86%"
"09/25/2022","552.56","542.61","560.63","528.42","1.02B","1.83%"
"09/18/2022","542.61","596.27","604.24","537.75","879.62M","-9.00%"
"09/11/2022","596.27","612.19","630.27","588.08","1.17B","-2.60%"
"09/04/2022","612.19","608.54","615.19","584.50","678.13M","0.60%"
"08/28/2022","608.54","629.38","647.45","589.05","872.67M","-3.31%"
"08/21/2022","629.38","603.60","642.29","588.51","913.61M","4.27%"
"08/14/2022","603.60","597.70","607.48","570.49","828.51M","0.99%"
"08/07/2022","597.70","557.88","598.05","557.16","745.85M","7.14%"
"07/31/2022","557.88","598.74","598.74","540.13","954.41M","-6.82%"
"07/24/2022","598.74","542.80","600.40","542.80","830.37M","10.31%"
"07/17/2022","542.80","524.27","559.63","524.27","848.87M","3.53%"
"07/10/2022","524.27","540.87","540.87","499.09","833.44M","-3.07%"
"07/03/2022","540.87","554.10","554.10","506.91","886.26M","-2.39%"
"06/26/2022","554.10","547.02","587.69","535.54","1.11B","1.29%"
"06/19/2022","547.02","555.65","588.18","530.52","1.24B","-1.55%"
"06/12/2022","555.65","670.72","670.72","548.90","1.64B","-17.16%"
"06/05/2022","670.72","676.93","706.03","663.18","946.70M","-0.92%"
"05/29/2022","676.93","669.03","683.45","655.55","989.03M","1.18%"
"05/22/2022","669.03","618.93","669.27","618.93","961.57M","8.09%"
"05/15/2022","618.93","612.25","639.46","604.85","1.02B","1.09%"
"05/08/2022","612.25","630.62","630.62","571.68","1.19B","-2.91%"
"05/01/2022","630.62","572.41","630.88","566.24","1.21B","10.17%"
"04/24/2022","572.41","579.90","591.92","540.48","1.13B","-1.29%"
"04/17/2022","579.90","607.63","619.90","579.40","1.00B","-4.56%"
"04/10/2022","607.63","605.71","612.25","585.54","694.82M","0.32%"
"04/03/2022","605.71","586.89","607.30","573.91","905.90M","3.21%"
"03/27/2022","586.89","601.34","601.34","565.52","970.54M","-2.40%"
