"Date","Price","Open","High","Low","Vol.","Change %"
"05/15/2022","517.15","516.31","532.26","506.03","473.05M","-0.13%"
"05/08/2022","517.80","522.99","525.46","500.77","535.24M","-2.49%"
"05/01/2022","531.00","534.85","556.02","522.13","514.29M","-0.56%"
"04/24/2022","533.97","535.03","551.12","522.22","523.41M","-0.82%"
"04/17/2022","538.40","558.52","574.68","537.55","432.91M","-3.72%"
"04/10/2022","559.23","554.82","566.02","550.91","260.38M","0.69%"
"04/03/2022","555.39","560.72","563.08","543.98","368.56M","-0.78%"
"03/27/2022","559.73","559.17","564.18","553.17","387.95M","-0.26%"
"03/20/2022","561.19","540.59","561.36","540.09","405.43M","4.10%"
"03/13/2022","539.10","515.35","539.88","508.57","613.77M","5.18%"
"03/06/2022","512.53","520.35","521.53","497.10","605.01M","-1.58%"
"02/27/2022","520.74","521.94","528.39","507.84","586.72M","-1.60%"
"02/20/2022","529.22","523.37","529.35","498.48","416.49M","0.50%"
"02/13/2022","526.60","527.91","537.99","519.65","422.51M","-0.26%"
"02/06/2022","527.95","522.62","548.06","518.19","457.01M","1.14%"
"01/30/2022","521.99","520.14","542.82","519.43","465.59M","-0.20%"
"01/23/2022","523.05","522.13","532.03","508.53","529.17M","-0.93%"
"01/16/2022","527.96","554.05","556.03","526.41","366.46M","-5.36%"
"01/09/2022","557.86","558.54","569.23","550.22","370.21M","-0.59%"
"01/02/2022","561.17","569.80","580.07","558.76","367.57M","-1.49%"
"12/26/2021","569.63","557.22","572.53","556.48","221.98M","2.58%"
"12/19/2021","555.32","542.74","557.13","531.91","264.85M","1.24%"
"12/12/2021","548.50","552.68","559.03","540.60","479.55M","-0.79%"
"12/05/2021","552.89","539.77","554.73","538.00","356.23M","3.54%"
"11/28/2021","534.01","545.30","546.80","524.83","481.86M","-1.39%"
"11/21/2021","541.52","554.28","560.83","536.29","251.88M","-2.26%"
"11/14/2021","554.03","564.97","565.28","552.41","347.24M","-2.00%"
"11/07/2021","565.33","556.32","565.63","555.77","406.90M","2.51%"
"10/31/2021","551.47","535.44","552.82","533.91","434.68M","3.19%"
"10/24/2021","534.41","535.33","541.54","531.37","390.23M","0.32%"
"10/17/2021","532.71","525.92","538.14","523.06","326.74M","0.86%"
"10/10/2021","528.15","511.23","530.91","508.24","393.48M","3.64%"
"10/03/2021","509.59","505.02","517.98","496.43","395.75M","0.99%"
"09/26/2021","504.57","510.63","515.97","495.30","396.12M","-0.91%"
"09/19/2021","509.22","499.62","513.35","492.40","418.44M","0.10%"
"09/12/2021","508.73","529.82","531.76","507.23","435.84M","-3.22%"
"09/05/2021","525.68","533.61","533.61","524.00","257.90M","-1.65%"
"08/29/2021","534.50","541.17","541.85","530.52","306.51M","-0.87%"
"08/22/2021","539.17","528.29","540.58","527.35","295.34M","2.59%"
"08/15/2021","525.54","539.95","540.29","519.69","361.36M","-3.10%"
"08/08/2021","542.35","527.41","543.44","523.39","326.95M","2.68%"
"08/01/2021","528.18","529.55","533.17","517.32","325.36M","0.16%"
"07/25/2021","527.35","513.99","530.63","509.54","345.29M","2.78%"
"07/18/2021","513.07","501.33","513.59","494.03","407.37M","0.80%"
"07/11/2021","509.02","518.87","524.42","508.27","320.76M","-2.35%"
"07/04/2021","521.27","520.39","522.43","506.76","271.05M","0.18%"
"06/27/2021","520.31","517.68","521.78","512.18","291.02M","0.82%"
"06/20/2021","516.09","510.25","520.88","510.25","449.46M","2.11%"
"06/13/2021","505.45","538.14","538.77","505.43","580.74M","-6.31%"
"06/06/2021","539.48","550.40","550.54","536.55","321.42M","-2.02%"
"05/30/2021","550.61","552.90","556.10","543.06","289.00M","0.60%"
"05/23/2021","547.32","547.82","550.86","540.61","402.97M","0.60%"
"05/16/2021","544.06","552.35","557.93","536.74","439.68M","-1.42%"
"05/09/2021","551.92","557.28","560.11","536.75","490.18M","0.06%"
"05/02/2021","551.57","525.26","552.63","525.17","433.32M","5.86%"
"04/25/2021","521.05","522.64","527.12","519.23","359.91M","0.03%"
"04/18/2021","520.87","519.58","522.28","510.01","353.20M","0.37%"
"04/11/2021","518.94","502.73","520.51","501.09","357.58M","3.24%"
"04/04/2021","502.64","503.27","508.19","494.38","337.37M","0.67%"
"03/28/2021","499.30","499.22","503.56","492.76","302.12M","-0.25%"
"03/21/2021","500.55","487.07","500.94","476.68","457.75M","2.50%"
"03/14/2021","488.32","491.00","497.89","482.74","538.85M","-0.83%"
"03/07/2021","492.42","472.72","495.34","472.36","424.33M","4.39%"
"02/28/2021","471.73","466.89","479.72","453.12","474.00M","2.30%"
"02/21/2021","461.11","469.79","480.63","458.37","497.49M","-2.14%"
"02/14/2021","471.21","468.66","473.09","459.65","394.31M","0.89%"
"02/07/2021","467.06","466.26","467.27","458.50","415.57M","1.08%"
"01/31/2021","462.08","446.49","462.63","442.69","689.64M","3.87%"
"01/24/2021","444.85","466.86","469.90","440.58","685.10M","-5.03%"
"01/17/2021","468.43","478.06","479.17","465.02","347.26M","-1.18%"
"01/10/2021","474.04","474.15","489.58","469.35","457.54M","-1.57%"
"01/03/2021","481.58","460.10","487.03","448.79","563.59M","5.68%"
"12/27/2020","455.71","454.92","456.39","445.78","222.43M","1.17%"
"12/20/2020","450.45","445.36","452.69","441.19","202.37M","-0.50%"
"12/13/2020","452.71","447.11","453.68","438.27","406.77M","1.92%"
"12/06/2020","444.19","449.95","452.08","440.86","331.28M","-1.23%"
"11/29/2020","449.70","449.36","453.30","439.77","440.33M","0.04%"
"11/22/2020","449.53","440.44","454.02","439.64","313.10M","2.67%"
