"Date","Price","Open","High","Low","Vol.","Change %"
"01/09/2022","352.83","357.25","357.98","349.98","399.28M","-1.40%"
"01/02/2022","357.85","363.55","363.65","352.31","399.20M","-1.61%"
"12/26/2021","363.71","354.81","365.09","353.68","204.77M","2.64%"
"12/19/2021","354.37","350.53","357.18","347.30","245.62M","0.24%"
"12/12/2021","353.51","349.03","361.14","349.03","481.26M","1.21%"
"12/05/2021","349.30","342.88","350.86","342.87","374.23M","2.55%"
"11/28/2021","340.61","339.52","343.49","332.31","484.27M","0.98%"
"11/21/2021","337.32","340.26","344.99","336.72","225.44M","-0.97%"
"11/14/2021","340.62","339.26","342.60","337.55","328.19M","0.92%"
"11/07/2021","337.52","341.52","341.52","334.66","349.01M","-1.11%"
"10/31/2021","341.30","340.02","342.79","334.65","365.75M","0.43%"
"10/24/2021","339.84","341.30","344.73","338.26","305.42M","-0.53%"
"10/17/2021","341.64","331.66","342.33","328.93","290.78M","2.35%"
"10/10/2021","333.81","328.10","336.39","324.23","389.07M","1.42%"
"10/03/2021","329.15","324.19","336.57","324.19","356.76M","1.45%"
"09/26/2021","324.46","330.76","333.89","322.15","395.64M","-2.00%"
"09/19/2021","331.08","334.09","337.63","330.34","364.39M","-1.20%"
"09/12/2021","335.11","348.57","349.13","334.83","449.58M","-3.11%"
"09/05/2021","345.86","350.64","353.78","345.70","277.59M","-1.57%"
"08/29/2021","351.39","346.22","354.25","345.32","318.37M","1.39%"
"08/22/2021","346.58","354.03","354.03","344.99","319.68M","-2.11%"
"08/15/2021","354.06","348.25","354.31","346.69","349.18M","1.80%"
"08/08/2021","347.79","343.04","348.25","340.50","282.42M","1.47%"
"08/01/2021","342.76","336.12","345.11","335.05","337.45M","2.28%"
"07/25/2021","335.12","333.51","340.57","331.87","333.81M","0.33%"
"07/18/2021","334.01","335.53","338.06","327.85","366.44M","-0.87%"
"07/11/2021","336.94","328.02","338.59","325.60","322.71M","2.55%"
"07/04/2021","328.55","325.40","329.88","321.72","265.56M","0.94%"
"06/27/2021","325.48","326.95","329.15","320.41","358.42M","-0.02%"
"06/20/2021","325.54","324.99","328.67","320.57","352.38M","0.66%"
"06/13/2021","323.41","334.05","337.49","323.12","448.19M","-3.17%"
"06/06/2021","333.99","330.86","334.07","326.73","346.17M","1.09%"
"05/30/2021","330.40","330.58","332.30","326.58","287.69M","0.25%"
"05/23/2021","329.58","336.32","336.95","327.83","383.93M","-1.58%"
"05/16/2021","334.86","333.63","336.03","326.46","427.90M","0.31%"
"05/09/2021","333.82","335.91","341.96","326.32","406.80M","-0.41%"
"05/02/2021","335.20","339.44","342.09","330.10","385.46M","-1.12%"
"04/25/2021","339.00","338.70","339.05","331.97","362.66M","0.20%"
"04/18/2021","338.32","342.05","345.90","337.64","361.03M","-0.95%"
"04/11/2021","341.56","329.78","342.97","327.80","407.58M","3.66%"
"04/04/2021","329.50","326.13","331.91","326.11","328.38M","1.32%"
"03/28/2021","325.20","322.35","327.67","320.76","283.57M","0.77%"
"03/21/2021","322.73","313.27","322.99","311.30","410.34M","2.82%"
"03/14/2021","313.87","315.58","320.25","309.91","589.72M","-0.33%"
"03/07/2021","314.90","302.48","315.98","301.67","478.50M","4.41%"
"02/28/2021","301.59","298.16","305.27","294.84","497.62M","2.11%"
"02/21/2021","295.35","310.71","310.71","295.30","515.50M","-5.05%"
"02/14/2021","311.06","317.07","317.20","310.89","333.47M","-1.99%"
"02/07/2021","317.37","323.70","323.89","315.76","303.63M","-1.79%"
"01/31/2021","323.15","317.64","324.99","314.97","330.42M","2.26%"
"01/24/2021","316.02","318.81","326.46","312.77","476.34M","-1.14%"
"01/17/2021","319.68","322.10","322.41","317.01","291.78M","-0.21%"
"01/10/2021","320.35","316.02","321.32","308.60","397.55M","1.06%"
"01/03/2021","317.00","318.91","320.75","308.28","406.65M","-0.65%"
"12/27/2020","319.07","312.89","319.27","311.58","215.08M","2.50%"
"12/20/2020","311.30","311.81","313.71","306.97","259.99M","-0.99%"
"12/13/2020","314.42","316.41","321.10","312.43","482.77M","0.07%"
"12/06/2020","314.19","314.43","318.69","312.16","389.48M","-0.37%"
"11/29/2020","315.37","321.65","324.45","313.65","448.79M","-2.20%"
"11/22/2020","322.46","322.84","325.87","320.25","294.59M","0.24%"
"11/15/2020","321.68","338.08","338.82","319.32","451.64M","-3.92%"
"11/08/2020","334.81","336.97","344.81","329.25","422.19M","2.77%"
"11/01/2020","325.77","319.82","332.44","318.22","380.10M","2.79%"
"10/25/2020","316.92","326.69","332.10","313.94","401.76M","-3.70%"
"10/18/2020","329.11","325.22","330.43","321.70","326.49M","1.18%"
"10/11/2020","325.27","322.54","326.90","318.19","301.64M","0.84%"
"10/04/2020","322.55","309.08","324.56","307.31","325.40M","4.58%"
"09/27/2020","308.41","300.09","310.03","297.73","370.49M","3.32%"
"09/20/2020","298.51","292.53","298.78","288.38","350.44M","1.20%"
"09/13/2020","294.96","298.79","307.82","294.43","401.67M","-0.82%"
"09/06/2020","297.40","299.93","305.69","295.04","280.95M","-0.80%"
"08/30/2020","299.79","298.14","308.16","294.88","359.21M","0.43%"
"08/23/2020","298.50","300.89","303.81","295.52","287.95M","-0.65%"
"08/16/2020","300.44","305.67","307.89","297.57","322.55M","-1.69%"
"08/09/2020","305.62","313.14","314.40","304.42","362.56M","-2.08%"
"08/02/2020","312.12","308.51","313.24","303.06","394.87M","0.97%"
"07/26/2020","309.12","306.29","309.83","300.43","428.55M","0.90%"
"07/19/2020","306.37","304.98","312.03","299.07","600.03M","0.09%"
"07/12/2020","306.08","293.54","306.76","292.50","390.65M","4.23%"
"07/05/2020","293.66","295.24","296.99","284.10","389.49M","-0.18%"
"06/28/2020","294.20","282.48","297.29","279.67","302.69M","4.86%"
"06/21/2020","280.56","289.08","295.63","278.63","503.41M","-2.89%"
"06/14/2020","288.92","290.56","306.70","288.13","505.80M","-2.39%"
"06/07/2020","296.00","308.79","318.22","292.24","463.09M","-4.26%"
"05/31/2020","309.17","301.64","314.90","299.79","385.33M","2.36%"
"05/24/2020","302.05","290.29","303.36","286.93","372.74M","5.73%"
"05/17/2020","285.67","284.55","290.47","281.55","358.08M","3.00%"
"05/10/2020","277.34","282.71","285.64","271.74","555.27M","-2.72%"
"05/03/2020","285.10","283.89","291.79","277.97","422.44M","0.53%"
"04/26/2020","283.60","298.29","306.89","282.18","362.06M","-4.28%"
"04/19/2020","296.27","305.00","305.00","287.88","354.58M","-3.76%"
"04/12/2020","307.83","306.28","309.22","295.16","372.92M","-0.49%"
"04/05/2020","309.35","272.87","313.95","272.57","394.21M","17.64%"
"03/29/2020","262.97","287.45","295.10","259.54","557.85M","-7.11%"
"03/22/2020","283.10","236.84","293.19","220.86","609.87M","17.68%"
"03/15/2020","240.57","276.22","292.65","239.16","769.88M","-17.18%"
"03/08/2020","290.48","332.03","332.03","270.06","762.02M","-14.26%"
"03/01/2020","338.78","315.17","347.26","315.00","601.82M","7.94%"
"02/23/2020","313.85","354.37","356.01","306.40","590.65M","-11.76%"
"02/16/2020","355.67","357.36","359.84","353.61","310.79M","-0.19%"
"02/09/2020","356.33","348.38","356.63","347.11","289.92M","2.43%"
"02/02/2020","347.89","350.74","352.09","346.10","329.93M","-0.63%"
"01/26/2020","350.08","346.83","352.39","345.30","344.92M","0.81%"
"01/19/2020","347.25","339.58","348.27","338.35","298.28M","2.40%"
"01/12/2020","339.11","326.82","339.40","326.75","334.70M","3.76%"
"01/05/2020","326.82","324.37","328.00","322.65","330.40M","0.81%"
"12/29/2019","324.18","325.86","328.65","322.70","244.25M","-0.81%"
"12/22/2019","326.82","328.41","328.91","323.74","171.47M","-0.44%"
"12/15/2019","328.25","320.33","329.88","319.56","532.20M","2.71%"
"12/08/2019","319.58","319.30","320.01","315.70","382.14M","0.14%"
"12/01/2019","319.12","317.56","320.81","315.70","350.41M","0.24%"
"11/24/2019","318.36","318.59","320.59","316.65","301.23M","-0.03%"
"11/17/2019","318.47","318.46","321.00","316.13","438.25M","0.20%"
"11/10/2019","317.84","313.10","318.53","310.68","386.87M","1.53%"
"11/03/2019","313.06","325.09","325.09","311.56","439.38M","-3.72%"
"10/27/2019","325.17","324.10","327.22","320.03","374.61M","-0.10%"
"10/20/2019","325.49","324.03","329.58","323.00","332.33M","0.48%"
"10/13/2019","323.94","325.12","325.24","319.61","358.29M","-0.14%"
"10/06/2019","324.41","328.62","328.83","322.76","288.74M","-1.41%"
"09/29/2019","329.06","328.60","330.16","321.89","346.38M","0.23%"
"09/22/2019","328.29","324.07","330.47","323.58","322.66M","1.30%"
"09/15/2019","324.08","317.44","324.51","315.79","373.00M","2.19%"
"09/08/2019","317.12","316.15","321.32","312.78","374.14M","0.01%"
"09/01/2019","317.09","315.94","322.90","315.76","290.69M","0.35%"
"08/25/2019","315.97","311.30","317.02","310.67","325.70M","1.76%"
"08/18/2019","310.52","310.01","315.52","309.02","308.37M","0.19%"
"08/11/2019","309.93","308.49","311.05","304.23","359.05M","0.53%"
"08/04/2019","308.29","305.31","309.68","297.60","418.69M","1.05%"
"07/28/2019","305.10","305.00","307.53","300.31","441.23M","0.25%"
"07/21/2019","304.33","306.67","306.94","301.60","313.20M","-0.61%"
"07/14/2019","306.20","307.36","310.86","305.34","302.37M","-0.44%"
"07/07/2019","307.55","308.31","311.03","306.20","281.21M","-0.11%"
"06/30/2019","307.90","302.91","309.90","299.23","220.66M","1.60%"
"06/23/2019","303.04","310.02","310.60","300.37","379.99M","-2.12%"
"06/16/2019","309.59","306.28","310.09","302.02","390.52M","1.17%"
"06/09/2019","306.01","302.14","306.71","296.89","","1.18%"
"06/02/2019","302.45","294.69","308.21","291.53","","2.89%"
"05/26/2019","293.95","302.22","302.34","291.30","","-2.63%"
"05/19/2019","301.90","297.59","304.38","296.54","","1.66%"
"05/12/2019","296.96","292.73","298.05","292.51","","1.17%"
"05/05/2019","293.54","295.58","296.25","287.00","","-0.71%"
"04/28/2019","295.65","294.04","297.87","291.71","","0.32%"
"04/21/2019","294.72","290.44","297.55","289.12","","1.40%"
"04/14/2019","290.64","295.58","296.47","290.17","","-1.58%"
"04/07/2019","295.30","294.14","295.87","291.37","","0.20%"
"03/31/2019","294.70","295.12","295.12","290.21","","-0.15%"
"03/24/2019","295.15","296.92","299.29","292.38","","-0.51%"
"03/17/2019","296.66","295.42","298.76","289.82","","0.42%"
"03/10/2019","295.41","290.24","296.23","290.03","","1.84%"
"03/03/2019","290.08","288.78","290.82","285.80","","0.70%"
"02/24/2019","288.07","288.22","288.38","284.64","","-0.09%"
"02/17/2019","288.33","281.60","288.33","280.93","","2.36%"
"02/10/2019","281.68","282.16","284.11","280.17","","-0.25%"
"02/03/2019","282.38","275.67","282.39","273.64","","2.00%"
"01/27/2019","276.84","270.72","278.60","268.20","","2.25%"
"01/20/2019","270.75","269.85","274.78","267.60","","0.37%"
"01/13/2019","269.76","268.23","270.65","261.61","","-0.18%"
"01/06/2019","270.25","266.81","271.70","264.59","","0.84%"
"12/30/2018","267.99","268.38","269.29","262.44","","-0.04%"
"12/23/2018","268.09","273.41","274.75","258.16","","-1.93%"
"12/16/2018","273.36","286.37","286.93","271.45","","-4.51%"
"12/09/2018","286.28","284.39","288.20","279.71","","0.64%"
"12/02/2018","284.46","279.62","286.74","277.86","","1.34%"
"11/25/2018","280.71","273.33","280.87","272.38","","2.70%"
"11/18/2018","273.34","276.56","281.23","271.56","","-1.35%"
"11/11/2018","277.07","275.55","280.69","270.86","","-0.30%"
"11/04/2018","277.90","270.52","279.21","270.23","","3.10%"
"10/28/2018","269.55","271.74","277.22","267.79","","-0.57%"
"10/21/2018","271.09","277.02","281.53","269.04","","-2.13%"
"10/14/2018","276.99","268.94","278.34","268.57","","3.05%"
"10/07/2018","268.80","272.85","278.45","266.47","","-1.26%"
"09/30/2018","272.24","266.78","272.98","264.05","","1.86%"
"09/23/2018","267.28","268.96","269.28","260.62","","-0.71%"
"09/16/2018","269.20","273.63","274.67","265.10","","-1.53%"
"09/09/2018","273.39","272.98","274.93","271.02","","0.37%"
"09/02/2018","272.37","270.38","276.86","270.38","","0.99%"
"08/26/2018","269.70","271.56","272.33","268.22","","-0.58%"
"08/19/2018","271.28","275.24","275.42","268.76","","-1.41%"
"08/12/2018","275.17","268.34","276.45","267.37","","2.54%"
"08/05/2018","268.35","270.07","271.85","267.21","","-0.63%"
"07/29/2018","270.05","266.61","270.81","263.60","","1.18%"
"07/22/2018","266.89","265.53","269.13","259.55","","0.69%"
