"Date","Price","Open","High","Low","Vol.","Change %"
"07/16/2023","215.92","222.63","224.43","214.82","2.15B","-3.01%"
"07/09/2023","222.63","215.39","225.07","212.27","1.54B","3.36%"
"07/02/2023","215.39","216.08","219.85","214.99","762.75M","-0.32%"
"06/25/2023","216.08","215.28","217.16","210.45","1.09B","0.37%"
"06/18/2023","215.28","216.92","217.37","211.37","1.01B","-0.76%"
"06/11/2023","216.92","212.39","220.07","212.39","1.52B","2.13%"
"06/04/2023","212.39","213.29","218.09","210.31","1.36B","-0.42%"
"05/28/2023","213.29","210.92","214.25","209.22","1.47B","1.12%"
"05/21/2023","210.92","208.37","212.50","205.20","1.50B","1.20%"
"05/14/2023","208.41","202.22","211.69","201.37","1.32B","3.06%"
"05/07/2023","202.22","193.81","203.18","193.44","1.42B","4.34%"
"04/30/2023","193.81","198.35","199.13","191.17","1.30B","-2.29%"
"04/23/2023","198.35","191.16","198.37","186.69","1.49B","3.76%"
"04/16/2023","191.16","197.18","197.18","189.63","1.21B","-3.05%"
"04/09/2023","197.18","196.00","197.25","191.89","1.01B","0.60%"
"04/02/2023","196.00","191.53","196.69","189.67","940.55M","2.33%"
"03/26/2023","191.53","188.77","191.67","183.74","1.04B","1.46%"
"03/19/2023","188.77","182.56","190.40","181.49","1.22B","3.40%"
"03/12/2023","182.56","170.71","184.79","168.18","2.21B","6.94%"
"03/05/2023","170.71","178.02","181.04","170.01","1.37B","-4.11%"
"02/26/2023","178.02","172.39","178.20","171.40","1.39B","3.27%"
"02/19/2023","172.39","180.01","180.01","171.20","1.09B","-4.37%"
"02/12/2023","180.27","179.86","183.99","178.28","1.41B","0.23%"
"02/05/2023","179.86","192.55","195.55","179.46","1.98B","-6.59%"
"01/29/2023","192.55","182.90","197.84","179.34","1.77B","5.28%"
"01/22/2023","182.90","177.09","184.03","175.86","1.50B","3.28%"
"01/15/2023","177.09","171.98","177.17","167.71","1.19B","2.97%"
"01/08/2023","171.98","165.26","172.22","163.38","1.32B","4.07%"
"01/01/2023","165.26","159.37","165.72","159.37","1.18B","3.70%"
"12/25/2022","159.37","159.50","160.01","155.18","906.76M","-0.08%"
"12/18/2022","159.50","160.14","160.50","155.05","1.36B","-0.40%"
"12/11/2022","160.14","164.19","173.48","159.04","2.20B","-2.47%"
"12/04/2022","164.19","173.55","174.16","163.51","1.44B","-5.39%"
"11/27/2022","173.55","167.99","174.97","163.32","1.50B","3.31%"
"11/20/2022","167.99","166.31","169.61","163.61","860.34M","1.01%"
"11/13/2022","166.31","166.45","171.11","164.35","1.55B","-0.08%"
"11/06/2022","166.45","152.38","167.09","152.38","2.07B","9.23%"
"10/30/2022","152.38","164.62","164.62","149.17","2.13B","-7.44%"
"10/23/2022","164.62","169.45","175.42","159.64","2.34B","-2.85%"
"10/16/2022","169.45","161.34","171.51","161.34","1.82B","5.03%"
"10/09/2022","161.34","164.39","166.73","156.78","1.56B","-1.86%"
"10/02/2022","164.39","162.01","171.70","162.01","1.70B","1.47%"
"09/25/2022","162.01","167.08","169.72","161.94","1.62B","-3.03%"
"09/18/2022","167.08","176.05","176.90","165.05","1.44B","-5.10%"
