"Date","Price","Open","High","Low","Vol.","Change %"
"10/09/2022","1,441.15","1,429.72","1,472.36","1,398.81","839.02M","0.80%"
"10/02/2022","1,429.72","1,411.36","1,487.28","1,411.36","817.58M","1.30%"
"09/25/2022","1,411.36","1,431.15","1,451.53","1,408.17","896.75M","-1.38%"
"09/18/2022","1,431.15","1,481.14","1,481.14","1,413.73","803.21M","-3.38%"
"09/11/2022","1,481.14","1,517.20","1,535.32","1,467.44","978.48M","-2.38%"
"09/04/2022","1,517.20","1,453.94","1,521.52","1,450.45","621.20M","4.35%"
"08/28/2022","1,453.94","1,480.51","1,484.93","1,447.58","784.83M","-1.79%"
"08/21/2022","1,480.51","1,547.34","1,547.34","1,479.73","639.50M","-4.32%"
"08/14/2022","1,547.34","1,556.18","1,565.76","1,535.23","688.95M","-0.57%"
"08/07/2022","1,556.18","1,531.03","1,556.82","1,526.41","788.32M","1.64%"
"07/31/2022","1,531.03","1,541.88","1,546.46","1,518.69","774.20M","-0.70%"
"07/24/2022","1,541.88","1,512.34","1,558.41","1,512.34","889.95M","1.95%"
"07/17/2022","1,512.34","1,517.51","1,524.91","1,480.75","762.36M","-0.34%"
"07/10/2022","1,517.51","1,524.54","1,529.30","1,459.55","704.23M","-0.46%"
"07/03/2022","1,524.54","1,512.47","1,539.62","1,471.30","581.22M","0.80%"
"06/26/2022","1,512.47","1,506.72","1,522.81","1,479.60","792.92M","0.38%"
"06/19/2022","1,506.72","1,393.22","1,507.48","1,393.22","843.80M","8.15%"
"06/12/2022","1,393.22","1,459.09","1,459.09","1,379.59","1.17B","-4.51%"
"06/05/2022","1,459.09","1,510.43","1,531.42","1,454.10","750.73M","-3.40%"
"05/29/2022","1,510.43","1,559.34","1,559.34","1,491.14","833.42M","-3.14%"
"05/22/2022","1,559.34","1,510.91","1,559.34","1,508.81","867.96M","3.21%"
"05/15/2022","1,510.91","1,497.40","1,529.47","1,472.07","913.75M","0.90%"
"05/08/2022","1,497.40","1,511.65","1,511.65","1,459.12","1.09B","-0.94%"
"05/01/2022","1,511.65","1,518.45","1,551.50","1,484.24","1.07B","-0.45%"
"04/24/2022","1,518.45","1,557.49","1,570.88","1,515.99","1.10B","-2.51%"
"04/17/2022","1,557.49","1,615.79","1,640.96","1,555.95","876.48M","-3.61%"
"04/10/2022","1,615.79","1,664.58","1,667.87","1,607.39","690.87M","-2.93%"
"04/03/2022","1,664.58","1,609.25","1,672.39","1,593.30","977.64M","3.44%"
"03/27/2022","1,609.25","1,589.78","1,619.59","1,586.76","917.03M","1.22%"
"03/20/2022","1,589.78","1,593.48","1,605.83","1,563.39","882.42M","-0.23%"
"03/13/2022","1,593.48","1,504.90","1,594.64","1,504.90","1.22B","6.24%"
"03/06/2022","1,499.91","1,539.82","1,539.82","1,483.77","1.04B","-2.77%"
"02/27/2022","1,542.57","1,519.87","1,543.64","1,493.08","1.17B","1.17%"
"02/20/2022","1,524.66","1,481.00","1,527.76","1,447.04","897.79M","2.71%"
"02/13/2022","1,484.43","1,515.82","1,524.96","1,479.51","1.00B","-2.23%"
"02/06/2022","1,518.33","1,541.74","1,566.82","1,516.12","1.09B","-1.45%"
"01/30/2022","1,540.71","1,520.14","1,557.49","1,515.64","1.10B","1.34%"
"01/23/2022","1,520.30","1,506.65","1,520.34","1,456.58","1.28B","0.72%"
"01/16/2022","1,509.42","1,561.18","1,561.18","1,506.99","858.72M","-3.43%"
"01/09/2022","1,563.07","1,565.77","1,596.23","1,547.12","1.04B","-0.28%"
"01/02/2022","1,567.50","1,641.69","1,641.69","1,564.43","1.08B","-4.65%"
"12/26/2021","1,643.92","1,625.88","1,656.89","1,625.88","643.78M","1.13%"
