"Date","Price","Open","High","Low","Vol.","Change %"
"11/26/2023","599.47","585.78","600.57","583.74","1.65B","2.09%"
"11/19/2023","587.20","580.36","588.24","579.29","811.48M","1.01%"
"11/12/2023","581.31","561.43","581.38","560.41","1.48B","3.26%"
"11/05/2023","562.95","562.73","563.36","555.75","1.26B","0.28%"
"10/29/2023","561.39","526.22","563.85","525.02","1.74B","7.35%"
"10/22/2023","522.93","535.85","538.08","521.26","1.77B","-2.41%"
"10/15/2023","535.85","552.00","564.17","534.98","1.96B","-2.93%"
"10/08/2023","552.00","549.36","559.52","544.12","1.44B","0.48%"
"10/01/2023","549.36","552.16","552.45","536.17","1.53B","-0.51%"
"09/24/2023","552.16","561.05","562.05","548.82","1.31B","-1.58%"
"09/17/2023","561.05","577.18","582.04","560.75","1.26B","-2.79%"
"09/10/2023","577.18","569.00","581.16","569.00","1.80B","1.44%"
"09/03/2023","569.00","575.27","577.06","565.21","1.06B","-1.09%"
"08/27/2023","575.27","563.99","577.18","563.99","1.17B","2.00%"
"08/20/2023","563.99","563.68","569.55","557.51","1.20B","0.05%"
"08/13/2023","563.68","579.89","579.89","560.22","1.33B","-2.80%"
"08/06/2023","579.89","580.02","589.15","575.54","1.19B","-0.02%"
"07/30/2023","580.02","584.90","589.17","577.18","1.42B","-0.83%"
"07/23/2023","584.90","586.31","593.95","582.17","1.55B","-0.24%"
"07/16/2023","586.32","569.49","589.60","569.11","2.00B","2.96%"
"07/09/2023","569.49","558.53","577.08","558.37","1.59B","1.96%"
"07/02/2023","558.53","561.11","565.87","553.11","1.07B","-0.46%"
"06/25/2023","561.11","545.15","563.32","542.56","1.48B","2.93%"
"06/18/2023","545.15","556.06","556.06","541.50","1.30B","-2.02%"
"06/11/2023","556.40","549.85","560.69","545.40","2.00B","1.19%"
"06/04/2023","549.85","544.11","551.95","538.86","1.51B","1.05%"
"05/28/2023","544.11","532.82","545.93","522.62","1.61B","2.12%"
"05/21/2023","532.82","541.16","544.09","525.63","1.59B","-1.54%"
"05/14/2023","541.16","529.60","546.53","528.69","1.75B","2.18%"
"05/07/2023","529.60","536.84","541.88","526.26","1.69B","-1.35%"
"04/30/2023","536.83","551.42","555.67","519.57","2.64B","-2.65%"
"04/23/2023","551.42","552.37","553.73","534.26","2.42B","-0.17%"
"04/16/2023","552.37","547.01","557.58","544.03","2.30B","0.98%"
"04/09/2023","547.01","531.81","551.16","529.03","1.83B","2.86%"
"04/02/2023","531.81","535.28","538.28","526.84","1.51B","-0.65%"
"03/26/2023","535.28","515.97","535.37","515.97","2.28B","3.74%"
"03/19/2023","515.97","513.28","533.55","506.10","3.44B","0.58%"
"03/12/2023","513.02","543.11","544.73","512.07","5.41B","-6.09%"
"03/05/2023","546.28","597.05","601.17","540.13","2.15B","-8.50%"
"02/26/2023","597.05","592.38","598.55","581.08","1.21B","0.79%"
"02/19/2023","592.38","604.28","604.28","585.76","875.05M","-1.97%"
"02/12/2023","604.28","606.18","615.79","599.51","962.54M","-0.31%"
"02/05/2023","606.18","608.50","616.58","599.28","1.12B","-0.38%"
"01/29/2023","608.50","603.02","613.23","598.36","1.51B","0.91%"
"01/22/2023","603.02","588.16","606.47","586.77","1.30B","2.53%"
"01/15/2023","588.16","600.66","600.66","575.11","1.38B","-2.08%"
"01/08/2023","600.66","588.73","601.61","583.80","1.35B","2.03%"
"01/01/2023","588.73","569.74","590.40","567.40","967.55M","3.33%"
"12/25/2022","569.74","565.89","572.00","562.87","627.36M","0.68%"
"12/18/2022","565.89","558.05","569.23","553.16","1.07B","1.40%"
"12/11/2022","558.05","572.33","593.22","553.14","1.76B","-2.50%"
"12/04/2022","572.33","595.56","595.56","571.09","1.44B","-3.90%"
"11/27/2022","595.56","599.37","604.68","582.90","1.31B","-0.64%"
"11/20/2022","599.37","586.71","599.86","585.54","615.72M","2.16%"
"11/13/2022","586.71","595.51","595.51","576.87","1.22B","-1.48%"
"11/06/2022","595.51","563.29","597.87","560.91","1.40B","5.72%"
"10/30/2022","563.29","568.03","574.52","549.57","1.41B","-0.83%"
"10/23/2022","568.03","534.91","568.62","534.91","1.36B","6.19%"
"10/16/2022","534.91","514.70","542.58","514.70","1.75B","3.93%"
"10/09/2022","514.70","513.66","534.72","491.83","1.52B","0.20%"
"10/02/2022","513.66","504.39","538.57","504.21","1.30B","1.84%"
"09/25/2022","504.39","516.93","519.40","501.46","1.41B","-2.43%"
"09/18/2022","516.93","547.46","553.91","509.44","1.29B","-5.58%"
"09/11/2022","547.46","569.13","576.99","541.92","1.49B","-3.81%"
"09/04/2022","569.13","545.25","570.70","538.48","928.05M","4.38%"
"08/28/2022","545.25","559.28","560.37","539.02","1.11B","-2.51%"
"08/21/2022","559.28","580.07","580.07","559.15","904.57M","-3.58%"
"08/14/2022","580.07","590.24","596.97","578.45","902.39M","-1.72%"
"08/07/2022","590.24","559.73","590.37","558.47","1.07B","5.45%"
"07/31/2022","559.73","560.04","561.83","548.62","1.07B","-0.06%"
"07/24/2022","560.04","544.18","561.72","539.01","1.22B","2.91%"
